shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
C..N04R,0,40.675377,-73.872106
C..N04R,1,40.674130,-73.880750
C..N04R,2,40.672710,-73.890358
C..N04R,3,40.672196,-73.893830
C..N04R,4,40.672159,-73.894094
C..N04R,5,40.672140,-73.894340
C..N04R,6,40.672138,-73.894572
C..N04R,7,40.672154,-73.894790
C..N04R,8,40.672186,-73.894994
C..N04R,9,40.672236,-73.895184
C..N04R,10,40.672302,-73.895360
C..N04R,11,40.672386,-73.895522
C..N04R,12,40.672487,-73.895671
C..N04R,13,40.672605,-73.895805
C..N04R,14,40.672739,-73.895925
C..N04R,15,40.672891,-73.896032
C..N04R,16,40.673061,-73.896124
C..N04R,17,40.673247,-73.896202
C..N04R,18,40.673448,-73.896264
C..N04R,19,40.674542,-73.896548
C..N04R,20,40.676653,-73.897088
C..N04R,21,40.676834,-73.897162
C..N04R,22,40.677001,-73.897255
C..N04R,23,40.677156,-73.897365
C..N04R,24,40.677299,-73.897492
C..N04R,25,40.677430,-73.897637
C..N04R,26,40.677549,-73.897799
C..N04R,27,40.677657,-73.897979
C..N04R,28,40.677752,-73.898176
C..N04R,29,40.677836,-73.898390
C..N04R,30,40.677908,-73.898621
C..N04R,31,40.677969,-73.898870
C..N04R,32,40.678017,-73.899135
C..N04R,33,40.678054,-73.899419
C..N04R,34,40.678079,-73.899719
C..N04R,35,40.678093,-73.900033
C..N04R,36,40.678112,-73.900444
C..N04R,37,40.678114,-73.900494
C..N04R,38,40.678117,-73.900543
C..N04R,39,40.678120,-73.900593
C..N04R,40,40.678123,-73.900641
C..N04R,41,40.678126,-73.900690
C..N04R,42,40.678130,-73.900738
C..N04R,43,40.678134,-73.900785
C..N04R,44,40.678138,-73.900833
C..N04R,45,40.678142,-73.900879
C..N04R,46,40.678147,-73.900926
C..N04R,47,40.678152,-73.900972
C..N04R,48,40.678157,-73.901017
C..N04R,49,40.678162,-73.901063
C..N04R,50,40.678168,-73.901108
C..N04R,51,40.678174,-73.901152
C..N04R,52,40.678361,-73.902619
C..N04R,53,40.678365,-73.902668
C..N04R,54,40.678369,-73.902717
C..N04R,55,40.678373,-73.902767
C..N04R,56,40.678376,-73.902816
C..N04R,57,40.678379,-73.902866
C..N04R,58,40.678382,-73.902915
C..N04R,59,40.678384,-73.902965
C..N04R,60,40.678386,-73.903015
C..N04R,61,40.678388,-73.903065
C..N04R,62,40.678389,-73.903115
C..N04R,63,40.678390,-73.903165
C..N04R,64,40.678390,-73.903215
C..N04R,65,40.678391,-73.903266
C..N04R,66,40.678390,-73.903316
C..N04R,67,40.678390,-73.903367
C..N04R,68,40.678334,-73.905316
C..N04R,69,40.678227,-73.907997
C..N04R,70,40.678221,-73.908133
C..N04R,71,40.678217,-73.908270
C..N04R,72,40.678213,-73.908405
C..N04R,73,40.678211,-73.908539
C..N04R,74,40.678209,-73.908673
C..N04R,75,40.678207,-73.908805
C..N04R,76,40.678207,-73.908936
C..N04R,77,40.678207,-73.909066
C..N04R,78,40.678208,-73.909195
C..N04R,79,40.678210,-73.909323
C..N04R,80,40.678213,-73.909449
C..N04R,81,40.678216,-73.909575
C..N04R,82,40.678220,-73.909700
C..N04R,83,40.678225,-73.909823
C..N04R,84,40.678231,-73.909946
C..N04R,85,40.678340,-73.911946
C..N04R,86,40.678822,-73.920786
C..N04R,87,40.679364,-73.930729
C..N04R,88,40.679921,-73.940858
C..N04R,89,40.680438,-73.950426
C..N04R,90,40.680543,-73.952338
C..N04R,91,40.680548,-73.952432
C..N04R,92,40.680554,-73.952527
C..N04R,93,40.680561,-73.952624
C..N04R,94,40.680570,-73.952721
C..N04R,95,40.680580,-73.952821
C..N04R,96,40.680591,-73.952921
C..N04R,97,40.680604,-73.953023
C..N04R,98,40.680618,-73.953127
C..N04R,99,40.680634,-73.953232
C..N04R,100,40.680651,-73.953339
C..N04R,101,40.680669,-73.953447
C..N04R,102,40.680689,-73.953556
C..N04R,103,40.680710,-73.953667
C..N04R,104,40.680733,-73.953779
C..N04R,105,40.680757,-73.953893
C..N04R,106,40.681380,-73.956848
C..N04R,107,40.683263,-73.965838
C..N04R,108,40.683595,-73.967430
C..N04R,109,40.683608,-73.967499
C..N04R,110,40.683624,-73.967566
C..N04R,111,40.683640,-73.967634
C..N04R,112,40.683657,-73.967701
C..N04R,113,40.683675,-73.967769
C..N04R,114,40.683694,-73.967837
C..N04R,115,40.683715,-73.967904
C..N04R,116,40.683736,-73.967972
C..N04R,117,40.683758,-73.968039
C..N04R,118,40.683781,-73.968107
C..N04R,119,40.683805,-73.968175
C..N04R,120,40.683830,-73.968242
C..N04R,121,40.683856,-73.968310
C..N04R,122,40.683883,-73.968377
C..N04R,123,40.683911,-73.968445
C..N04R,124,40.686113,-73.973946
C..N04R,125,40.686720,-73.975438
C..N04R,126,40.686754,-73.975530
C..N04R,127,40.686786,-73.975621
C..N04R,128,40.686815,-73.975711
C..N04R,129,40.686842,-73.975803
C..N04R,130,40.686866,-73.975894
C..N04R,131,40.686888,-73.975986
C..N04R,132,40.686907,-73.976078
C..N04R,133,40.686924,-73.976170
C..N04R,134,40.686938,-73.976263
C..N04R,135,40.686950,-73.976356
C..N04R,136,40.686960,-73.976449
C..N04R,137,40.686966,-73.976543
C..N04R,138,40.686971,-73.976637
C..N04R,139,40.686973,-73.976731
C..N04R,140,40.686971,-73.976828
C..N04R,141,40.686762,-73.978621
C..N04R,142,40.686747,-73.978751
C..N04R,143,40.686735,-73.978877
C..N04R,144,40.686726,-73.979002
C..N04R,145,40.686721,-73.979124
C..N04R,146,40.686718,-73.979245
C..N04R,147,40.686718,-73.979363
C..N04R,148,40.686720,-73.979480
C..N04R,149,40.686726,-73.979594
C..N04R,150,40.686735,-73.979706
C..N04R,151,40.686747,-73.979816
C..N04R,152,40.686762,-73.979924
C..N04R,153,40.686779,-73.980030
C..N04R,154,40.686800,-73.980134
C..N04R,155,40.686823,-73.980236
C..N04R,156,40.686851,-73.980336
C..N04R,157,40.686969,-73.980738
C..N04R,158,40.686977,-73.980774
C..N04R,159,40.686986,-73.980810
C..N04R,160,40.686995,-73.980847
C..N04R,161,40.687004,-73.980884
C..N04R,162,40.687014,-73.980921
C..N04R,163,40.687025,-73.980958
C..N04R,164,40.687036,-73.980996
C..N04R,165,40.687048,-73.981034
C..N04R,166,40.687060,-73.981072
C..N04R,167,40.687073,-73.981110
C..N04R,168,40.687086,-73.981149
C..N04R,169,40.687100,-73.981188
C..N04R,170,40.687114,-73.981227
C..N04R,171,40.687129,-73.981266
C..N04R,172,40.687144,-73.981306
C..N04R,173,40.687350,-73.981883
C..N04R,174,40.687376,-73.981953
C..N04R,175,40.687403,-73.982022
C..N04R,176,40.687429,-73.982091
C..N04R,177,40.687455,-73.982160
C..N04R,178,40.687480,-73.982229
C..N04R,179,40.687505,-73.982299
C..N04R,180,40.687531,-73.982368
C..N04R,181,40.687555,-73.982438
C..N04R,182,40.687580,-73.982508
C..N04R,183,40.687604,-73.982578
C..N04R,184,40.687629,-73.982648
C..N04R,185,40.687653,-73.982718
C..N04R,186,40.687676,-73.982789
C..N04R,187,40.687700,-73.982859
C..N04R,188,40.687723,-73.982930
C..N04R,189,40.687747,-73.983005
C..N04R,190,40.687771,-73.983080
C..N04R,191,40.687795,-73.983155
C..N04R,192,40.687820,-73.983229
C..N04R,193,40.687845,-73.983304
C..N04R,194,40.687870,-73.983379
C..N04R,195,40.687896,-73.983454
C..N04R,196,40.687922,-73.983528
C..N04R,197,40.687948,-73.983603
C..N04R,198,40.687975,-73.983678
C..N04R,199,40.688002,-73.983752
C..N04R,200,40.688029,-73.983827
C..N04R,201,40.688056,-73.983901
C..N04R,202,40.688084,-73.983976
C..N04R,203,40.688112,-73.984050
C..N04R,204,40.688484,-73.985001
C..N04R,205,40.689409,-73.987376
C..N04R,206,40.689472,-73.987486
C..N04R,207,40.689540,-73.987586
C..N04R,208,40.689610,-73.987672
C..N04R,209,40.689684,-73.987747
C..N04R,210,40.689761,-73.987809
C..N04R,211,40.689841,-73.987858
C..N04R,212,40.689924,-73.987895
C..N04R,213,40.690011,-73.987920
C..N04R,214,40.690100,-73.987932
C..N04R,215,40.690192,-73.987931
C..N04R,216,40.690288,-73.987918
C..N04R,217,40.690387,-73.987892
C..N04R,218,40.690489,-73.987854
C..N04R,219,40.690594,-73.987803
C..N04R,220,40.690701,-73.987738
C..N04R,221,40.690945,-73.987582
C..N04R,222,40.690993,-73.987556
C..N04R,223,40.691041,-73.987532
C..N04R,224,40.691089,-73.987509
C..N04R,225,40.691138,-73.987488
C..N04R,226,40.691187,-73.987469
C..N04R,227,40.691236,-73.987452
C..N04R,228,40.691286,-73.987437
C..N04R,229,40.691336,-73.987423
C..N04R,230,40.691386,-73.987412
C..N04R,231,40.691437,-73.987402
C..N04R,232,40.691488,-73.987394
C..N04R,233,40.691539,-73.987387
C..N04R,234,40.691591,-73.987383
C..N04R,235,40.691643,-73.987380
C..N04R,236,40.691695,-73.987379
C..N04R,237,40.692332,-73.987343
C..N04R,238,40.692338,-73.987342
C..N04R,239,40.692346,-73.987343
C..N04R,240,40.693682,-73.987277
C..N04R,241,40.693715,-73.987276
C..N04R,242,40.693748,-73.987273
C..N04R,243,40.693782,-73.987271
C..N04R,244,40.693816,-73.987268
C..N04R,245,40.693850,-73.987265
C..N04R,246,40.693884,-73.987262
C..N04R,247,40.693919,-73.987259
C..N04R,248,40.693953,-73.987255
C..N04R,249,40.693988,-73.987252
C..N04R,250,40.694024,-73.987248
C..N04R,251,40.694059,-73.987244
C..N04R,252,40.694095,-73.987240
C..N04R,253,40.694131,-73.987235
C..N04R,254,40.694167,-73.987231
C..N04R,255,40.694204,-73.987226
C..N04R,256,40.694334,-73.987211
C..N04R,257,40.694364,-73.987206
C..N04R,258,40.694394,-73.987202
C..N04R,259,40.694424,-73.987198
C..N04R,260,40.694455,-73.987194
C..N04R,261,40.694487,-73.987191
C..N04R,262,40.694519,-73.987187
C..N04R,263,40.694551,-73.987184
C..N04R,264,40.694585,-73.987182
C..N04R,265,40.694618,-73.987179
C..N04R,266,40.694652,-73.987177
C..N04R,267,40.694687,-73.987175
C..N04R,268,40.694722,-73.987173
C..N04R,269,40.694758,-73.987172
C..N04R,270,40.694794,-73.987171
C..N04R,271,40.694832,-73.987170
C..N04R,272,40.697395,-73.987036
C..N04R,273,40.697629,-73.987053
C..N04R,274,40.697848,-73.987090
C..N04R,275,40.698052,-73.987146
C..N04R,276,40.698240,-73.987221
C..N04R,277,40.698413,-73.987316
C..N04R,278,40.698570,-73.987429
C..N04R,279,40.698713,-73.987562
C..N04R,280,40.698840,-73.987713
C..N04R,281,40.698951,-73.987884
C..N04R,282,40.699047,-73.988074
C..N04R,283,40.699128,-73.988283
C..N04R,284,40.699194,-73.988511
C..N04R,285,40.699244,-73.988758
C..N04R,286,40.699279,-73.989025
C..N04R,287,40.699300,-73.989309
C..N04R,288,40.699337,-73.990531
C..N04R,289,40.699368,-73.991305
C..N04R,290,40.699375,-73.991423
C..N04R,291,40.699382,-73.991539
C..N04R,292,40.699391,-73.991654
C..N04R,293,40.699402,-73.991768
C..N04R,294,40.699414,-73.991880
C..N04R,295,40.699428,-73.991991
C..N04R,296,40.699444,-73.992101
C..N04R,297,40.699461,-73.992209
C..N04R,298,40.699480,-73.992316
C..N04R,299,40.699500,-73.992422
C..N04R,300,40.699523,-73.992527
C..N04R,301,40.699546,-73.992630
C..N04R,302,40.699572,-73.992732
C..N04R,303,40.699599,-73.992833
C..N04R,304,40.699629,-73.992931
C..N04R,305,40.700539,-73.996206
C..N04R,306,40.700676,-73.996623
C..N04R,307,40.700823,-73.997030
C..N04R,308,40.700978,-73.997422
C..N04R,309,40.701141,-73.997800
C..N04R,310,40.701312,-73.998162
C..N04R,311,40.701491,-73.998509
C..N04R,312,40.701679,-73.998841
C..N04R,313,40.701875,-73.999159
C..N04R,314,40.702079,-73.999461
C..N04R,315,40.702291,-73.999749
C..N04R,316,40.702511,-74.000021
C..N04R,317,40.702740,-74.000279
C..N04R,318,40.702976,-74.000522
C..N04R,319,40.703221,-74.000749
C..N04R,320,40.703473,-74.000966
C..N04R,321,40.708461,-74.004845
C..N04R,322,40.708525,-74.004894
C..N04R,323,40.708589,-74.004947
C..N04R,324,40.708651,-74.005002
C..N04R,325,40.708712,-74.005061
C..N04R,326,40.708771,-74.005122
C..N04R,327,40.708830,-74.005187
C..N04R,328,40.708886,-74.005254
C..N04R,329,40.708941,-74.005325
C..N04R,330,40.708995,-74.005398
C..N04R,331,40.709048,-74.005475
C..N04R,332,40.709099,-74.005554
C..N04R,333,40.709148,-74.005637
C..N04R,334,40.709197,-74.005722
C..N04R,335,40.709244,-74.005811
C..N04R,336,40.709287,-74.005900
C..N04R,337,40.710197,-74.007691
C..N04R,338,40.711226,-74.009737
C..N04R,339,40.711291,-74.009837
C..N04R,340,40.711358,-74.009924
C..N04R,341,40.711427,-74.009999
C..N04R,342,40.711498,-74.010062
C..N04R,343,40.711571,-74.010112
C..N04R,344,40.711645,-74.010149
C..N04R,345,40.711722,-74.010174
C..N04R,346,40.711801,-74.010187
C..N04R,347,40.711881,-74.010187
C..N04R,348,40.711963,-74.010175
C..N04R,349,40.712048,-74.010150
C..N04R,350,40.712134,-74.010113
C..N04R,351,40.712222,-74.010063
C..N04R,352,40.712312,-74.010001
C..N04R,353,40.712405,-74.009926
C..N04R,354,40.714111,-74.008585
C..N04R,355,40.718039,-74.005494
C..N04R,356,40.718106,-74.005447
C..N04R,357,40.718174,-74.005404
C..N04R,358,40.718242,-74.005365
C..N04R,359,40.718310,-74.005329
C..N04R,360,40.718379,-74.005297
C..N04R,361,40.718449,-74.005268
C..N04R,362,40.718519,-74.005243
C..N04R,363,40.718589,-74.005222
