stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
A42,Hoyt-Schermerhorn Sts,40.688484,-73.985001,1,
A42N,Hoyt-Schermerhorn Sts,40.688484,-73.985001,,A42
A42S,Hoyt-Schermerhorn Sts,40.688484,-73.985001,,A42
F20,Bergen St,40.686145,-73.990862,1,
F20N,Bergen St,40.686145,-73.990862,,F20
F20S,Bergen St,40.686145,-73.990862,,F20
F21,Carroll St,40.680303,-73.995048,1,
F21N,Carroll St,40.680303,-73.995048,,F21
F21S,Carroll St,40.680303,-73.995048,,F21
F22,Smith-9 Sts,40.673580,-73.995959,1,
F22N,Smith-9 Sts,40.673580,-73.995959,,F22
F22S,Smith-9 Sts,40.673580,-73.995959,,F22
F23,4 Av-9 St,40.670272,-73.989779,1,
F23N,4 Av-9 St,40.670272,-73.989779,,F23
F23S,4 Av-9 St,40.670272,-73.989779,,F23
F24,7 Av,40.666271,-73.980305,1,
F24N,7 Av,40.666271,-73.980305,,F24
F24S,7 Av,40.666271,-73.980305,,F24
F25,15 St-Prospect Park,40.660365,-73.979493,1,
F25N,15 St-Prospect Park,40.660365,-73.979493,,F25
F25S,15 St-Prospect Park,40.660365,-73.979493,,F25
F26,Fort Hamilton Pkwy,40.650782,-73.975776,1,
F26N,Fort Hamilton Pkwy,40.650782,-73.975776,,F26
F26S,Fort Hamilton Pkwy,40.650782,-73.975776,,F26
F27,Church Av,40.644041,-73.979678,1,
F27N,Church Av,40.644041,-73.979678,,F27
F27S,Church Av,40.644041,-73.979678,,F27
G22,Court Sq,40.746554,-73.943832,1,
G22N,Court Sq,40.746554,-73.943832,,G22
G22S,Court Sq,40.746554,-73.943832,,G22
G24,21 St,40.744065,-73.949724,1,
G24N,21 St,40.744065,-73.949724,,G24
G24S,21 St,40.744065,-73.949724,,G24
G26,Greenpoint Av,40.731352,-73.954449,1,
G26N,Greenpoint Av,40.731352,-73.954449,,G26
G26S,Greenpoint Av,40.731352,-73.954449,,G26
G28,Nassau Av,40.724635,-73.951277,1,
G28N,Nassau Av,40.724635,-73.951277,,G28
G28S,Nassau Av,40.724635,-73.951277,,G28
G29,Metropolitan Av,40.712792,-73.951418,1,
G29N,Metropolitan Av,40.712792,-73.951418,,G29
G29S,Metropolitan Av,40.712792,-73.951418,,G29
G30,Broadway,40.706092,-73.950308,1,
G30N,Broadway,40.706092,-73.950308,,G30
G30S,Broadway,40.706092,-73.950308,,G30
G31,Flushing Av,40.700377,-73.950234,1,
G31N,Flushing Av,40.700377,-73.950234,,G31
G31S,Flushing Av,40.700377,-73.950234,,G31
G32,Myrtle-Willoughby Avs,40.694568,-73.949046,1,
G32N,Myrtle-Willoughby Avs,40.694568,-73.949046,,G32
G32S,Myrtle-Willoughby Avs,40.694568,-73.949046,,G32
G33,Bedford-Nostrand Avs,40.689627,-73.953522,1,
G33N,Bedford-Nostrand Avs,40.689627,-73.953522,,G33
G33S,Bedford-Nostrand Avs,40.689627,-73.953522,,G33
G34,Classon Av,40.688873,-73.960070,1,
G34N,Classon Av,40.688873,-73.960070,,G34
G34S,Classon Av,40.688873,-73.960070,,G34
G35,Clinton-Washington Avs,40.688089,-73.966839,1,
G35N,Clinton-Washington Avs,40.688089,-73.966839,,G35
G35S,Clinton-Washington Avs,40.688089,-73.966839,,G35
G36,Fulton St,40.687119,-73.975375,1,
G36N,Fulton St,40.687119,-73.975375,,G36
G36S,Fulton St,40.687119,-73.975375,,G36
